current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_up.started,set_up.stopped,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,blank_trial.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,block.started,block.stopped,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images/13_28 copy 5.jpg,0,18,0,0,0,0,18,18,18,150.06587623300584,,,,,,,,,,,,,,,,,,150.05751618600334,150.87748196300527,None,150.87760349800374,,,,,150.87762720800674,None,,,150.87770440000168,150.87772828100424,150.06587623300584,150.28500776700093,150.28500776700093,150.88423854400025,150.88423854400025,150.88423854400025,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/6_12 copy 2.jpg,0,19,0,0,0,0,19,19,19,150.88423854400025,,,,,,,,,,,,,,,,,,150.8779032770035,151.6553780270042,None,151.6554909520055,,,,,151.65551399000105,None,,,151.65558285300358,151.65560545700282,150.88423854400025,151.0668323570062,151.0668323570062,151.66147375900618,151.66147375900618,151.66147375900618,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/blank.jpg,0,20,1,0,0,0,20,20,20,151.66147375900618,,,,,,,,,,,,,,,,,,151.6557729039996,151.6575515910008,None,151.65765732800355,151.66147375900618,151.66147375900618,152.45309537200228,152.45309537200228,152.4463126450064,None,,,152.44643400600035,152.44645952599967,,,,,,,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/14_28 copy 6.jpg,0,21,0,0,0,0,21,21,21,152.45309537200228,,,,,,,,,,,,,,,,,,152.4466372550014,153.3039369170001,None,153.30406287200458,,,,,153.3040906160022,None,,,153.304171460004,153.3041976050008,152.45309537200228,152.6377112590053,152.6377112590053,153.31157478700334,153.31157478700334,153.31157478700334,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/8_0 copy 6.jpg,0,22,0,0,0,0,22,22,22,153.31157478700334,,,,,,,,,,,,,,,,,,153.30439049000415,154.21154554000532,None,154.21165430499968,,,,,154.2116775100003,None,,,154.21174557100312,154.21176766800636,153.31157478700334,153.50495385999966,153.50495385999966,154.2180600980064,154.2180600980064,154.2180600980064,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/24_28 copy 6.jpg,0,23,0,0,0,0,23,23,23,154.2180600980064,,,,,,,,,,,,,,,,,,154.21193467300327,155.05582953200064,None,155.05594286999985,,,,,155.0559664110042,None,,,155.056035970003,155.05605914199987,154.2180600980064,154.4206027590044,154.4206027590044,155.06423839700437,155.06423839700437,155.06423839700437,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/pair18 copy 4.jpg,0,24,0,0,0,0,24,24,24,155.06423839700437,,,,,,,,,,,,,,,,,,155.05622594600572,155.93448734100093,None,155.93460561200482,,,,,155.93462937100412,None,,,155.93469858000026,155.93472203400597,155.06423839700437,155.25125034500525,155.25125034500525,155.94239464900602,155.94239464900602,155.94239464900602,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/pair15 copy 2.jpg,0,25,0,0,0,0,25,25,25,155.94239464900602,,,,,,,,,,,,,,,,,,155.9348918560063,156.76561102800042,None,156.76576579700486,,,,,156.76579418500478,None,,,156.76588594400528,156.7659131420005,155.94239464900602,156.13375520599948,156.13375520599948,156.77376326600643,156.77376326600643,156.77376326600643,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/pair08 copy.jpg,0,26,0,0,0,0,26,26,26,156.77376326600643,,,,,,,,,,,,,,,,,,156.76612047300296,157.59757992600498,None,157.59770733900223,,,,,157.59773217400652,None,,,157.59780131099978,157.59782483200252,156.77376326600643,156.96345119100442,156.96345119100442,157.60336050200567,157.60336050200567,157.60336050200567,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/16_40 copy 2.jpg,0,27,0,0,0,0,27,27,27,157.60336050200567,,,,,,,,,,,,,,,,,,157.59799287400529,158.42407283300417,None,158.42419167800108,,,,,158.42421538100461,None,,,158.4242850869996,158.42430839900044,157.60336050200567,157.7917902180052,157.7917902180052,158.43363649000094,158.43363649000094,158.43363649000094,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/21_40 copy 2.jpg,0,28,0,0,0,0,28,28,28,158.43363649000094,,,,,,,,,,,,,,,,,,158.42447557900596,159.2419747439999,None,159.2421541520016,,,,,159.24218895500235,None,,,159.24229025700333,159.2423230600034,158.43363649000094,158.62651202100096,158.62651202100096,159.25152528400213,159.25152528400213,159.25152528400213,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/pair01 copy 4.jpg,0,29,0,0,0,0,29,29,29,159.25152528400213,,,,,,,,,,,,,,,,,,159.2425688190051,160.08521453400317,None,160.08533677000378,,,,,160.08536847600044,None,,,160.08548288600286,160.08551239900407,159.25152528400213,159.4428383360064,159.4428383360064,160.09174534400518,160.09174534400518,160.09174534400518,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/blank.jpg,0,30,1,0,0,0,30,30,30,160.09174534400518,,,,,,,,,,,,,,,,,,160.0856924050022,160.08772938800394,None,160.08782493400213,160.09174534400518,160.09174534400518,160.8926470400038,160.8926470400038,160.88622560000658,f,0.785237727999629,None,160.88645394700143,160.8864798420036,,,,,,,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/21_28.jpg,0,31,0,0,0,0,31,31,31,160.8926470400038,,,,,,,,,,,,,,,,,,160.88664671800507,161.7160338340036,None,161.7161610520052,,,,,161.7161877239996,None,,,161.7162693220016,161.71629309000127,160.8926470400038,161.08841295599996,161.08841295599996,161.72321179200662,161.72321179200662,161.72321179200662,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/pair05 copy 7.jpg,0,32,0,0,0,0,32,32,32,161.72321179200662,,,,,,,,,,,,,,,,,,161.71646189199964,162.54750446800608,None,162.54763151100633,,,,,162.54765862400382,None,,,162.54774099500355,162.54776806000154,161.72321179200662,161.9107401470028,161.9107401470028,162.55670407000434,162.55670407000434,162.55670407000434,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/20_40 copy.jpg,0,33,0,0,0,0,33,33,33,162.55670407000434,,,,,,,,,,,,,,,,,,162.5479606020017,163.4351228000014,None,163.43523457300034,,,,,163.43525852600578,None,,,163.43532786500145,163.4353506960033,162.55670407000434,162.75503320700227,162.75503320700227,163.44154861700372,163.44154861700372,163.44154861700372,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/16_12 copy 2.jpg,0,34,0,0,0,0,34,34,34,163.44154861700372,,,,,,,,,,,,,,,,,,163.43551573300647,164.29149966499972,None,164.29162317600276,,,,,164.29164900199976,None,,,164.29172576300334,164.29175114800455,163.44154861700372,163.63129226599995,163.63129226599995,164.2979014040029,164.2979014040029,164.2979014040029,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/11_0 copy 6.jpg,0,35,0,0,0,0,35,35,35,164.2979014040029,,,,,,,,,,,,,,,,,,164.2919324520044,165.1151710990016,None,165.1153003760046,,,,,165.115323996004,None,,,165.1153941970042,165.11541757300438,164.2979014040029,164.4887483690036,164.4887483690036,165.12116411600437,165.12116411600437,165.12116411600437,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
images/11_0 copy.jpg,0,36,0,0,0,0,36,36,36,165.12116411600437,,,,,,,,,,,,,,,,,,165.1155822530054,165.94244173000334,None,165.94255738700303,,,,,165.9425845700025,None,,,165.94265749000624,165.94268049000675,165.12116411600437,165.31325468900468,165.31325468900468,165.9497040730057,165.9497040730057,165.9497040730057,,,1,001,2024-04-03_15h43.27.171,replicate_nsd,2023.2.3,59.67060774341229,2024-04-03 15h43.36.823529 -0400,
