current_image,trial_index,is_blank_trial,is_repeat,is_new_run,run_num,all_blanks_list,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,all_keys_pressed.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,all_keys_pressed.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,all_keys_pressed.keys,blank_trial.started,blank_trial.stopped,key_resp_3.keys,run_wait2_2.started,run_wait2_2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,key_resp_5.started,text_5.started,key_resp_5.rt,key_resp_5.duration,key_resp_4.started,text_4.started,key_resp_4.rt,key_resp_4.duration,press_if_repeat.rt,press_if_repeat.duration,all_keys_pressed.rt,all_keys_pressed.duration,key_resp_3.rt,key_resp_3.duration,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
images/pair03 copy 7.jpg,19,0,,,,,0,19,19,19,,,,,77.73337677800009,,,,,,,,,,,77.71792145099971,77.73337677800009,77.73337677800009,78.73338452299868,78.73338452299868,81.73515481099821,81.73515481099821,81.73515481099821,81.73515481099821,81.71680562799884,None,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_10h05.35.187,replicate_nsd,2023.2.3,59.97307460779113,2024-04-12 10h05.48.126200 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.71728281099786,81.73515481099821,81.73515481099821,83.81702219699946,space,2.067036084998108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_10h05.35.187,replicate_nsd,2023.2.3,59.97307460779113,2024-04-12 10h05.48.126200 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.81705754499853,83.83309149599881,83.83309149599881,85.0497437069971,5,1.205247447000147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_10h05.35.187,replicate_nsd,2023.2.3,59.97307460779113,2024-04-12 10h05.48.126200 -0400,
images/14_40 copy 5.jpg,0,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,0,0,0,85.163285704999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.13642681099736,85.13650383399727,85.13651465099974,85.163285704999,85.163285704999,86.1502956209988,86.1502956209988,89.14971408899873,89.14971408899873,89.14971408899873,89.14971408899873,89.1342042599972,None,0,None,89.13623150299827,89.13627422599893,None,89.13693037199846,89.13699363999694,None,89.13765729799707,89.13769330599825,None,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_10h05.35.187,replicate_nsd,2023.2.3,59.97307460779113,2024-04-12 10h05.48.126200 -0400,
images/15_0 copy 2.jpg,1,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,1,1,1,89.14971408899873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.13857596299931,89.13866079999934,89.13867089199994,89.14971408899873,89.14971408899873,90.15071637599976,90.15071637599976,93.15383202199882,93.15383202199882,93.15383202199882,93.15383202199882,93.13460863799992,None,0,None,93.13511655399998,93.13516149599673,None,93.13527625799907,93.14529774499897,None,93.14540442499856,93.14543203299763,None,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_10h05.35.187,replicate_nsd,2023.2.3,59.97307460779113,2024-04-12 10h05.48.126200 -0400,
images/21_28.jpg,2,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,2,2,2,93.15383202199882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.14570353699673,93.14577854500021,93.14578723299928,93.15383202199882,93.15383202199882,94.15081254699908,94.15081254699908,97.15602047399807,97.15602047399807,97.15602047399807,97.15602047399807,97.13511876099801,None,0,None,97.13564592900002,97.13569274899783,None,97.13580948399976,97.14407490699887,None,97.14417461899939,97.14420081799835,None,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_10h05.35.187,replicate_nsd,2023.2.3,59.97307460779113,2024-04-12 10h05.48.126200 -0400,
images/12_40.jpg,3,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,3,3,3,97.15602047399807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.14446837899959,97.14455834699766,97.14456646799954,97.15602047399807,97.15602047399807,98.14951293999911,98.14951293999911,101.15531897799883,101.15531897799883,101.15531897799883,101.15531897799883,101.13454300299782,None,0,None,101.13503517999925,101.13508032800019,None,101.13519442599863,101.14392058599697,None,101.14402175899886,101.14404808699692,None,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_10h05.35.187,replicate_nsd,2023.2.3,59.97307460779113,2024-04-12 10h05.48.126200 -0400,
images/pair13 copy 7.jpg,4,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,4,4,4,101.15531897799883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.1443160029994,101.14439433000007,101.14440294099768,101.15531897799883,101.15531897799883,102.14915703299994,102.14915703299994,105.15558052699998,105.15558052699998,105.15558052699998,105.15558052699998,105.13428783199925,None,0,None,105.13480647999677,105.13485278299777,None,105.13496954199945,105.14331613499962,None,105.14341909599898,105.14344714699837,None,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_10h05.35.187,replicate_nsd,2023.2.3,59.97307460779113,2024-04-12 10h05.48.126200 -0400,
images/17_12 copy 4.jpg,5,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,5,5,5,105.15558052699998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.14373294999677,105.14380972599974,105.14381849199708,105.15558052699998,105.15558052699998,106.14962649899826,106.14962649899826,109.1546762839971,109.1546762839971,109.1546762839971,109.1546762839971,109.13421846900019,None,0,None,109.13472715999887,109.13477288599825,None,109.13488863999737,109.1435387019992,None,109.14363649999723,109.14366268199956,None,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_10h05.35.187,replicate_nsd,2023.2.3,59.97307460779113,2024-04-12 10h05.48.126200 -0400,
images/15_12 copy 6.jpg,6,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,6,6,6,109.1546762839971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.14392960999976,109.14400359799765,109.14401194699894,109.1546762839971,109.1546762839971,110.14950501599742,110.14950501599742,113.14902961499683,113.14902961499683,113.14902961499683,113.14902961499683,113.13336637499742,None,0,None,113.13366182699974,113.13368702699881,None,113.1337529429984,113.14001665399701,None,113.1401117159985,113.14013370300017,None,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_10h05.35.187,replicate_nsd,2023.2.3,59.97307460779113,2024-04-12 10h05.48.126200 -0400,
