current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips.started,set_skips.stopped,trial.started,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,trial.stopped,press_if_repeat.keys,blank_trial.started,blank_trial.stopped,key_resp_3.keys,run_wait2.started,run_wait2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,key_resp_3.rt,key_resp_3.duration,key_resp_5.started,text_5.started,key_resp_5.rt,key_resp_5.duration,key_resp_4.started,text_4.started,key_resp_4.rt,key_resp_4.duration,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
images/blank.jpg,0,19,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,19,19,19,169.78942530200584,,,,,,,,,,,169.78293772300822,169.78302554500988,169.7830376829952,,,,,,,169.78536139600328,None,169.78548010598752,170.56721720501082,return,170.56750829698285,170.56753530399874,None,170.56759721098933,170.56761789901066,None,169.78942530200584,169.78942530200584,170.5732577079907,170.5732577079907,0.18966952300979756,None,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/12_28 copy.jpg,0,20,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,20,20,20,170.5732577079907,,,,,,,,,,,170.56782158999704,170.56786983599886,170.56787637600792,170.5732577079907,170.75820802000817,170.75820802000817,171.38822680799058,171.38822680799058,171.38822680799058,171.38204791399767,None,171.38214641300146,171.38216721100616,None,171.38222678698367,171.38224646198796,None,171.38229916300043,171.38231618399732,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/6_0 copy 7.jpg,0,21,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,21,21,21,171.38822680799058,,,,,,,,,,,171.3824988429842,171.38253925499157,171.38254486498772,171.38822680799058,171.56812803598586,171.56812803598586,172.2734517469944,172.2734517469944,172.2734517469944,172.2647227240086,None,172.2649093880027,172.26495033100946,None,172.26507813000353,172.26511946800747,None,172.26523565099342,172.2652726919914,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/15_28 copy 3.jpg,0,22,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,22,22,22,172.2734517469944,,,,,,,,,,,172.26565987500362,172.2657473429863,172.26575936100562,172.2734517469944,172.49377529200865,172.49377529200865,173.2606269280077,173.2606269280077,173.2606269280077,173.25396818498848,None,173.25406371598365,173.2540828110068,None,173.2541400459886,173.2541586989828,None,173.25421049300348,173.2542274739826,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/14_28 copy 5.jpg,0,23,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,23,23,23,173.2606269280077,,,,,,,,,,,173.25440480999532,173.2544447479886,173.2544502170058,173.2606269280077,173.44136805899325,173.44136805899325,174.11345586300013,174.11345586300013,174.11345586300013,174.1051580380008,None,174.10531460199854,174.10534776898567,None,174.10544933599886,174.10548150600516,None,174.10557386599248,174.10560269700363,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/11_0 copy 2.jpg,0,24,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,24,24,24,174.11345586300013,,,,,,,,,,,174.10591241999646,174.10598272198695,174.10599268600345,174.11345586300013,174.31854610398295,174.31854610398295,175.04288039600942,175.04288039600942,175.04288039600942,175.03690261999145,None,175.03700335000758,175.03702292000526,None,175.0370817350049,175.03710151900304,None,175.0371550709824,175.03717185999267,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/23_40 copy 4.jpg,0,25,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,25,25,25,175.04288039600942,,,,,,,,,,,175.037367996003,175.037410600984,175.03741632500896,175.04288039600942,175.23061605999828,175.23061605999828,175.9539817390032,175.9539817390032,175.9539817390032,175.94809259599424,None,175.94820510598947,175.94822811198537,None,175.94829915798618,175.94832199200755,None,175.94838614400942,175.94840601200121,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/14_40 copy 7.jpg,0,26,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,26,26,26,175.9539817390032,,,,,,,,,,,175.94861989398487,175.94866938798805,175.94867608198547,175.9539817390032,176.1424750649894,176.1424750649894,176.84507312899223,176.84507312899223,176.84507312899223,176.83837134001078,None,176.83855153698823,176.8385823139979,None,176.838660281006,176.83868609700585,None,176.83875237600296,176.8387741209881,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/24_40 copy 7.jpg,0,27,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,27,27,27,176.84507312899223,,,,,,,,,,,176.83900245500263,176.8390591229836,176.83906614099396,176.84507312899223,177.04246271998272,177.04246271998272,177.7128281419864,177.7128281419864,177.7128281419864,177.70596800700878,None,177.70608300098684,177.7061062149878,None,177.70617783800117,177.70620094100013,None,177.70626543299295,177.70628572799615,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/21_0 copy 6.jpg,0,28,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,28,28,28,177.7128281419864,,,,,,,,,,,177.7065022859897,177.70655078499112,177.70655772599275,177.7128281419864,177.89494918799028,177.89494918799028,178.61141635500826,178.61141635500826,178.61141635500826,178.6043439490022,None,178.60452814999735,178.60456856398378,None,178.60469263000414,178.60473260699655,None,178.60484612398432,178.6048818519921,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/blank.jpg,0,29,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,29,29,29,178.61141635500826,,,,,,,,,,,178.6052575109934,178.60534537499188,178.60535731801065,,,,,,,178.60762955000973,None,178.60775239000213,179.34943352799746,None,179.34953834299813,179.34956246698857,None,179.34963017998962,179.34965070299222,None,178.61141635500826,178.61141635500826,179.3557930699899,179.3557930699899,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
images/9_0 copy 7.jpg,0,30,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,30,30,30,179.3557930699899,,,,,,,,,,,179.3498611789837,179.3499083830102,179.34991491000983,179.3557930699899,179.53782190699712,179.53782190699712,180.22056469900417,180.22056469900417,180.22056469900417,180.21428391698282,None,180.21438353098347,180.21440369600896,None,180.21446292399196,180.21448268799577,None,180.21453616098734,180.21455351699842,None,,,,,,,,,,,,,,,1,001,0,,2024-04-09_14h13.54.857,replicate_nsd,2023.2.3,59.796029880027994,2024-04-09 14h14.09.814026 -0400,
