current_image,trial_index,is_blank_trial,is_repeat,is_new_run,run_num,all_blanks_list,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,set_skips_and_correct_key_2.started,set_skips_and_correct_key_2.stopped,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,press_if_repeat_2.rt,press_if_repeat_2.duration,all_keys_pressed_2.keys,blank_trial_2.started,blank_trial_2.stopped,all_keys_pressed_2.rt,all_keys_pressed_2.duration,polygon_4.started,polygon_4.stopped,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,all_keys_pressed.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,all_keys_pressed.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,press_if_repeat.rt,press_if_repeat.duration,all_keys_pressed.keys,blank_trial.started,blank_trial.stopped,blank_trial_testing_keys.keys,run_wait2_2.started,run_wait2_2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,all_keys_pressed.rt,all_keys_pressed.duration,blank_trial_testing_keys.started,polygon_2.started,blank_trial_testing_keys.stopped,polygon_2.stopped,blank_trial_testing_keys.rt,blank_trial_testing_keys.duration,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
practice_images/w_auditorium1.jpg,19,0,,,,,0,19,19,19,,,,,138.57860880299995,,,,,,,,,,,138.56332168600056,138.56343923199984,138.5634513190007,138.57860880299995,138.57860880299995,139.57858010600012,139.57858010600012,142.58219128400015,142.58219128400015,142.58219128400015,142.58219128400015,142.56234877499992,1,0,2.8308950919999916,None,"['2', '1']",142.56315492800059,142.56319649000034,"[0.16696588400009205, 0.7221868130000075]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,001,0,,2024-04-16_10h21.05.102,replicate_nsd,2023.2.3,60.02260703451255,2024-04-16 10h21.17.687935 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.56325640400064,142.58219128400015,142.58219128400015,142.8453923500001,2,0.259129877000305,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,001,0,,2024-04-16_10h21.05.102,replicate_nsd,2023.2.3,60.02260703451255,2024-04-16 10h21.17.687935 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.84541710900066,142.86201838000034,142.86201838000034,145.81133174200022,equal,2.939845482000237,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,001,0,,2024-04-16_10h21.05.102,replicate_nsd,2023.2.3,60.02260703451255,2024-04-16 10h21.17.687935 -0400,
images/image_342_seed_1.png,0,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,0,0,0,145.91723917800027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.8875251590007,145.88759867499994,145.88760543900025,145.91723917800027,145.91723917800027,146.89544521300013,146.89544521300013,149.90886532700006,149.90886532700006,149.90886532700006,149.90886532700006,149.87901812600012,2,0,2.8173949239999274,None,None,149.88201822700012,149.88205879199995,None,149.882745635,149.8827990890004,None,149.88348398400012,149.88351975300066,None,,,,,,,,,45,001,0,,2024-04-16_10h21.05.102,replicate_nsd,2023.2.3,60.02260703451255,2024-04-16 10h21.17.687935 -0400,
images/image_100_seed_1.png,1,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,1,1,1,149.90886532700006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.88444702800007,149.88453249800023,149.88454113900025,149.90886532700006,149.90886532700006,150.8954056170005,150.8954056170005,153.90978566300055,153.90978566300055,153.90978566300055,153.90978566300055,153.87929009100026,2,0,2.9176595419994555,None,"['1', '2', '1']",153.88193116999992,153.88198179000028,None,153.88211181899987,153.88216865899994,None,153.88229045900061,153.88232648700068,None,"[0.16722346200003813, 0.511798999000348, 0.8781078140000318]","[None, None, None]",,,,,,,45,001,0,,2024-04-16_10h21.05.102,replicate_nsd,2023.2.3,60.02260703451255,2024-04-16 10h21.17.687935 -0400,
images/paired_image_875_2.png,2,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,2,2,2,153.90978566300055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.8826776830001,153.8827780850006,153.8827883419999,153.90978566300055,153.90978566300055,154.89570762699987,154.89570762699987,157.89711964400067,157.89711964400067,157.89711964400067,157.89711964400067,157.87937189700006,2,0,2.6357771129996763,None,"['1', '2']",157.88018872800058,157.88023261499984,None,157.88034588900064,157.8804022459999,None,157.8805159550002,157.88055351999992,None,"[0.23268690900022193, 0.5647814479998488]","[None, None]",,,,,,,45,001,0,,2024-04-16_10h21.05.102,replicate_nsd,2023.2.3,60.02260703451255,2024-04-16 10h21.17.687935 -0400,
images/w_escalator1.jpg,3,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,3,3,3,157.89711964400067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.88093233700056,157.8810530720002,157.88106630200036,157.89711964400067,157.89711964400067,158.89568413800043,158.89568413800043,161.90978015400015,161.90978015400015,161.90978015400015,161.90978015400015,161.87870889700025,2,0,2.965269549000368,None,"['1', '2', '1']",161.87953408900012,161.87957848899987,None,161.87968941200052,161.87974558299993,None,161.87985986200056,161.87989709400063,None,"[0.030043892999856325, 0.3749981939999998, 0.7842581859995335]","[None, None, None]",,,,,,,45,001,0,,2024-04-16_10h21.05.102,replicate_nsd,2023.2.3,60.02260703451255,2024-04-16 10h21.17.687935 -0400,
images/image_658_seed_1.png,4,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,4,4,4,161.90978015400015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.88029608800025,161.8803930740005,161.88040341000033,161.90978015400015,161.90978015400015,162.89590368800054,162.89590368800054,165.90619250000054,165.90619250000054,165.90619250000054,165.90619250000054,165.87952038300045,2,0,2.8949511390001135,None,"['1', '2']",165.88034159000017,165.8803859720001,None,165.88049806300023,165.88055396800064,None,165.88066884100044,165.88070586400045,None,"[0.38355798500015226, 0.7446478289994047]","[None, None]",,,,,,,45,001,0,,2024-04-16_10h21.05.102,replicate_nsd,2023.2.3,60.02260703451255,2024-04-16 10h21.17.687935 -0400,
images/image_91_seed_1.png,5,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,5,5,5,165.90619250000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.88108734400066,165.88121034300002,165.88122360499983,165.90619250000054,165.90619250000054,166.89606253500006,166.89606253500006,169.90697488800015,169.90697488800015,169.90697488800015,169.90697488800015,169.8796436570001,2,0,2.9523039089999656,None,"['1', '2']",169.8804591450007,169.88050400200063,None,169.8806167570001,169.88067102500008,None,169.8807860300003,169.8808231339999,None,"[0.4287185790008152, 0.7743350370001281]","[None, None]",,,,,,,45,001,0,,2024-04-16_10h21.05.102,replicate_nsd,2023.2.3,60.02260703451255,2024-04-16 10h21.17.687935 -0400,
images/image_518_seed_1.png,6,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,6,6,6,169.90697488800015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.881206733,169.8813444770003,169.881354526,169.90697488800015,169.90697488800015,170.89604023799984,170.89604023799984,173.9084019689999,173.9084019689999,173.9084019689999,173.9084019689999,173.879816054,2,0,2.9190782200003014,None,"['1', '2']",173.88063472400063,173.88067954300004,None,173.88079118800033,173.88084686399998,None,173.88096118300018,173.88099813100052,None,"[0.3835593430003428, 0.7186115000004065]","[None, None]",,,,,,,45,001,0,,2024-04-16_10h21.05.102,replicate_nsd,2023.2.3,60.02260703451255,2024-04-16 10h21.17.687935 -0400,
