current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips.started,set_skips.stopped,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,blank_trial.stopped,key_resp_3.keys,run_wait2.started,run_wait2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
images/6_0 copy 7.jpg,0,21,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,21,21,21,4.522571212000912,,,,,,,,,,,1.3928771159844473,1.3929793139977846,1.3929863650118932,1.3956911400018726,None,1.3957728680106811,1.3957988049951382,None,1.3958656179893296,1.3958897599950433,None,1.39595254699816,1.395975194987841,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/15_28 copy 3.jpg,0,22,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,22,22,22,4.522571212000912,,,,,,,,,,,1.3961772450129502,1.3962878219899721,1.396294737001881,1.398899663996417,None,1.3989818230038509,1.3990081769879907,None,1.3990741460002027,1.3990977339853998,None,1.399160227010725,1.399182444991311,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/14_28 copy 5.jpg,0,23,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,23,23,23,4.522571212000912,,,,,,,,,,,1.399383076990489,1.3994833450124133,1.399490148993209,1.4021684619947337,None,1.4022506969922688,1.4022769189905375,None,1.4023431609966792,1.4023675229982473,None,1.4024300609889906,1.4024525900022127,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/11_0 copy 2.jpg,0,24,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,24,24,24,4.522571212000912,,,,,,,,,,,1.4026546030072495,1.4027648899937049,1.4027717919962015,1.405570811999496,None,1.4056526549975388,1.4056796460063197,None,1.4057463800127152,1.4057703819999006,None,1.4058332639979199,1.4058554710063618,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/23_40 copy 4.jpg,0,25,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,25,25,25,4.522571212000912,,,,,,,,,,,1.406055567000294,1.4061564219882712,1.4061633560049813,1.4084461359889247,None,1.4085289099893998,1.4085555050114635,None,1.4086223659978714,1.4086461559927557,None,1.4087094299902674,1.4087320170074236,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/14_40 copy 7.jpg,0,26,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,26,26,26,4.522571212000912,,,,,,,,,,,1.4089328499976546,1.4090422070003115,1.4090489470108878,1.4113541360129602,None,1.4114364580018446,1.411462885007495,None,1.411530011013383,1.4115539850026835,None,1.4116180700075347,1.4116407399997115,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/24_40 copy 7.jpg,0,27,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,27,27,27,4.522571212000912,,,,,,,,,,,1.4118433769908734,1.4119523869885597,1.4119593059876934,1.4146195570065174,None,1.414700958004687,1.4147274839924648,None,1.4147946960001718,1.4148189800034743,None,1.4148827969911508,1.4149054329900537,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/21_0 copy 6.jpg,0,28,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,28,28,28,4.522571212000912,,,,,,,,,,,1.4151076969865244,1.4152084910019767,1.4152152779861353,1.4178250420081895,None,1.4179077509907074,1.4179339600086678,None,1.4180019449850079,1.418026789004216,None,1.4180911479925271,1.4181138289859518,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/blank.jpg,0,29,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,29,29,29,4.522571212000912,,,,,,,,,,,1.4183143819973338,1.41842444500071,1.4184313789883163,1.4201574159960728,None,1.420241713989526,1.4202683930052444,None,1.420335486996919,1.4203593370039016,None,1.420422889990732,1.4204455110011622,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
images/9_0 copy 7.jpg,0,30,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,30,30,30,4.522571212000912,,,,,,,,,,,1.4206535599951167,1.420763997011818,1.4207708099856973,1.423311616992578,None,1.4233990460052155,1.4234251620073337,None,1.423492553003598,1.4235164799902122,None,1.4235803489864338,1.4236028789891861,None,1,001,16,,2024-04-09_13h41.04.066,replicate_nsd,2023.2.3,60.105488258179264,2024-04-09 13h41.17.774270 -0400,
