current_image,trial_index,is_blank_trial,is_repeat,is_new_run,run_num,all_blanks_list,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,set_skips_and_correct_key_2.started,set_skips_and_correct_key_2.stopped,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,all_keys_pressed_2.rt,all_keys_pressed_2.duration,blank_trial_2.started,blank_trial_2.stopped,press_if_repeat_2.rt,press_if_repeat_2.duration,polygon_4.started,polygon_4.stopped,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,all_keys_pressed.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,all_keys_pressed.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,press_if_repeat.rt,press_if_repeat.duration,all_keys_pressed.keys,blank_trial.started,blank_trial.stopped,blank_trial_testing_keys.keys,run_wait2_2.started,run_wait2_2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,blank_trial_testing_keys.started,polygon_2.started,blank_trial_testing_keys.stopped,polygon_2.stopped,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
images/6_28 copy 6.jpg,19,0,,,,,0,19,19,19,,,,,78.05483356200011,,,,,,,,,,,78.03968871300003,78.03977671300004,78.03978841200001,78.05483356200011,78.05483356200011,79.05538099,79.05538099,82.05767836100017,82.05767836100017,82.05767836100017,82.05767836100017,82.03917603900004,None,0,None,,,82.03960386200015,82.03964617300016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.03970632200003,82.05767836100017,82.05767836100017,85.45554686300011,space,3.3927984389999892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.45557416099996,85.47187634700003,85.47187634700003,87.32212373300013,5,1.8463916630000767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/18_0 copy 3.jpg,0,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,0,0,0,87.43264634900015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.40009239100004,87.40016649300014,87.40017348900005,87.43264634900015,87.43264634900015,88.42207243899998,88.42207243899998,91.42247094499999,91.42247094499999,91.42247094499999,91.42247094499999,91.40573671400011,2,0,2.900161720999904,None,None,91.40856271799998,91.4086023960001,None,91.40925010000001,91.40931359700016,None,91.40996555200013,91.41000156400014,None,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/11_28 copy 7.jpg,1,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,1,1,1,91.42247094499999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.41087686000014,91.41096497000012,91.41097530800016,91.42247094499999,91.42247094499999,92.42188415999999,92.42188415999999,95.42611167400014,95.42611167400014,95.42611167400014,95.42611167400014,95.40570934200014,1,1,2.9445211950001067,None,None,95.40644499400014,95.40648939800008,None,95.40660127299998,95.41672680800002,None,95.41682473300011,95.41685106099999,None,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/22_28 copy 2.jpg,2,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,2,2,2,95.42611167400014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.41711798799997,95.41719104900017,95.41719944300007,95.42611167400014,95.42611167400014,96.42202701500014,96.42202701500014,99.42593198100008,99.42593198100008,99.42593198100008,99.42593198100008,99.40503820699996,1,1,2.7523342059998868,None,None,99.40579745000014,99.40583540900002,None,99.40592630600008,99.41372128300009,None,99.41381491400011,99.41384038000001,None,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/6_28 copy 4.jpg,3,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,3,3,3,99.42593198100008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.41409835700006,99.41416995300006,99.41417836799997,99.42593198100008,99.42593198100008,100.42209705100004,100.42209705100004,103.4261651490001,103.4261651490001,103.4261651490001,103.4261651490001,103.40553444000011,2,0,2.9442903499998465,None,None,103.40625880900006,103.406304374,None,103.40641652,103.41491878900001,None,103.4150159830001,103.41504194200002,None,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/10_0 copy 5.jpg,4,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,4,4,4,103.4261651490001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.41530803600017,103.41538189800008,103.41539024600002,103.4261651490001,103.4261651490001,104.42208114799996,104.42208114799996,107.42673762000004,107.42673762000004,107.42673762000004,107.42673762000004,107.40560911000011,2,0,2.6762843379999595,None,None,107.406332668,107.40637810400017,None,107.40648954400012,107.41480396500015,None,107.41490049000004,107.41492717799997,None,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/24_28 copy 6.jpg,5,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,5,5,5,107.42673762000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.41519189300016,107.41526568400013,107.41527427799997,107.42673762000004,107.42673762000004,108.42197080699998,108.42197080699998,111.42669730500006,111.42669730500006,111.42669730500006,111.42669730500006,111.40556174000017,1,1,2.836427558999958,None,None,111.40625015600017,111.40629489800017,None,111.40640745500014,111.41470443000003,None,111.41481289300009,111.41483911199998,None,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
images/15_0 copy 5.jpg,6,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,6,6,6,111.42669730500006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.41509632700013,111.41516805800006,111.41517653699998,111.42669730500006,111.42669730500006,112.42197237799996,112.42197237799996,115.42734425800018,115.42734425800018,115.42734425800018,115.42734425800018,115.40559104299996,2,0,2.2764050159998988,None,None,115.40627766500006,115.40632349400016,None,115.40643603000012,115.41473272000007,None,115.41483112500009,115.41485695400002,None,,,,,5,001,0,,2024-04-12_12h33.41.310,replicate_nsd,2023.2.3,59.96133417353761,2024-04-12 12h33.54.835955 -0400,
