current_image,trial_index,is_blank_trial,is_repeat,is_new_run,run_num,all_blanks_list,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,set_skips_and_correct_key_2.started,set_skips_and_correct_key_2.stopped,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,blank_trial_2.started,blank_trial_2.stopped,polygon_4.started,polygon_4.stopped,press_if_repeat_2.rt,press_if_repeat_2.duration,all_keys_pressed_2.rt,all_keys_pressed_2.duration,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,all_keys_pressed.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,all_keys_pressed.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,all_keys_pressed.keys,blank_trial.started,blank_trial.stopped,blank_trial_testing_keys.keys,run_wait2_2.started,run_wait2_2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,press_if_repeat.rt,press_if_repeat.duration,all_keys_pressed.rt,all_keys_pressed.duration,blank_trial_testing_keys.started,polygon_2.started,blank_trial_testing_keys.stopped,polygon_2.stopped,blank_trial_testing_keys.rt,blank_trial_testing_keys.duration,key_resp_5.started,text_5.started,key_resp_5.rt,key_resp_5.duration,key_resp_4.started,text_4.started,key_resp_4.rt,key_resp_4.duration,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
practice_images/paired_image_18_1.png,19,0,,,,,0,19,19,19,,,,,82.62410305500089,,,,,,,,,,,82.60919257699788,82.60927871999957,82.60929028899773,82.62410305500089,82.62410305500089,83.6246474719992,83.6246474719992,86.62654974699763,86.62654974699763,86.62654974699763,86.62654974699763,86.6070467089994,1,0,"['2', '1', '2', '1']",86.60789824499807,86.6079330859975,,,2.6172019419973367,None,"[0.22186034100013785, 0.35373959700154955, 0.5739124390020152, 0.7818554550030967]","[None, None, None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,0,,2024-04-13_10h06.23.029,replicate_nsd,2023.2.3,60.03926447827453,2024-04-13 10h06.36.508918 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.60798092999903,86.62654974699763,86.62654974699763,87.19048083300004,2,0.5595803069991234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,0,,2024-04-13_10h06.23.029,replicate_nsd,2023.2.3,60.03926447827453,2024-04-13 10h06.36.508918 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.19050536199939,87.20755198999905,87.20755198999905,94.60712971400062,equal,7.386416041001212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,001,0,,2024-04-13_10h06.23.029,replicate_nsd,2023.2.3,60.03926447827453,2024-04-13 10h06.36.508918 -0400,
images/image_557_seed_1.png,0,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,0,0,0,94.71480536200033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.68204349299776,94.68214451200038,94.68215227299879,94.71480536200033,94.71480536200033,95.69111384999997,95.69111384999997,98.68990823599961,98.68990823599961,98.68990823599961,98.68990823599961,98.67337875299927,None,0,None,98.67437186499956,98.67439589199785,None,98.67479963799997,98.67485582600057,None,98.67527098199935,98.67529266400015,None,,,,,,,,,,,,,,,,,,,21,001,0,,2024-04-13_10h06.23.029,replicate_nsd,2023.2.3,60.03926447827453,2024-04-13 10h06.36.508918 -0400,
images/image_637_seed_1.png,1,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,1,1,1,98.68990823599961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.67584557599912,98.67589748399769,98.67590370800099,98.68990823599961,98.68990823599961,99.69114672599972,99.69114672599972,102.69687894099843,102.69687894099843,102.69687894099843,102.69687894099843,102.67480085399802,2,0,None,102.67636949900043,102.67641671599995,None,102.6765348480003,102.68535485299799,None,102.68543900899749,102.68546129199967,None,2.9107290989995818,None,,,,,,,,,,,,,,,,,21,001,0,,2024-04-13_10h06.23.029,replicate_nsd,2023.2.3,60.03926447827453,2024-04-13 10h06.36.508918 -0400,
images/image_408_seed_1.png,2,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,2,2,2,102.69687894099843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.68569220099744,102.68575460499778,102.68576202300028,102.69687894099843,102.69687894099843,103.69114839399845,103.69114839399845,106.69048214899885,106.69048214899885,106.69048214899885,106.69048214899885,106.67348591799964,1,1,"['1', '2', '1', '2']",106.67592455100021,106.67595501899996,None,106.67604014199969,106.67610864100061,None,106.67618785100058,106.67621094700007,None,2.5666978070003097,None,"[0.1451654199991026, 0.4210631839996495, 0.6449686419982754, 0.9529635479993885]","[None, None, None, None]",,,,,,,,,,,,,,,21,001,0,,2024-04-13_10h06.23.029,replicate_nsd,2023.2.3,60.03926447827453,2024-04-13 10h06.36.508918 -0400,
images/image_564_seed_1.png,3,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,3,3,3,106.69048214899885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.67645550499947,106.67652330399869,106.67653139899994,106.69048214899885,106.69048214899885,107.69099854699743,107.69099854699743,110.69225995899978,110.69225995899978,110.69225995899978,110.69225995899978,110.67364489299871,1,1,"['2', '1', '2', '1']",110.67414433199883,110.67416946799858,None,110.67423283799872,110.68105101399851,None,110.68113730899859,110.68115960099749,None,2.702987317003135,None,"[0.1593858710002678, 0.47136178000073414, 0.751362392998999, 0.9593823510003858]","[None, None, None, None]",,,,,,,,,,,,,,,21,001,0,,2024-04-13_10h06.23.029,replicate_nsd,2023.2.3,60.03926447827453,2024-04-13 10h06.36.508918 -0400,
images/image_565_seed_1.png,4,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,4,4,4,110.69225995899978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.68138462199931,110.68144454199864,110.68145202300002,110.69225995899978,110.69225995899978,111.68997137199767,111.68997137199767,114.69607175800047,114.69607175800047,114.69607175800047,114.69607175800047,114.67458296100085,1,1,"['2', '1']",114.67551351200018,114.6755615080001,None,114.67567751499882,114.68295525099893,None,114.68305587799841,114.68308198799787,None,2.6639153659998556,None,"[0.27376342299976386, 0.4217375250009354]","[None, None]",,,,,,,,,,,,,,,21,001,0,,2024-04-13_10h06.23.029,replicate_nsd,2023.2.3,60.03926447827453,2024-04-13 10h06.36.508918 -0400,
images/image_365_seed_1.png,5,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,5,5,5,114.69607175800047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.68335063199993,114.68342235399905,114.68343091799761,114.69607175800047,114.69607175800047,115.69102511699748,115.69102511699748,118.69664447899777,118.69664447899777,118.69664447899777,118.69664447899777,118.67450765499962,2,0,"['2', '1', '1', '2']",118.67548220499884,118.67552827899999,None,118.67564332099937,118.6829592139984,None,118.68305651799892,118.68308138700013,None,2.7869718089968956,None,"[0.01380990400139126, 0.10981199299931177, 0.4297709019992908, 0.4457668969989754]","[None, None, None, None]",,,,,,,,,,,,,,,21,001,0,,2024-04-13_10h06.23.029,replicate_nsd,2023.2.3,60.03926447827453,2024-04-13 10h06.36.508918 -0400,
images/image_413_seed_1.png,6,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,6,6,6,118.69664447899777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.68333929599976,118.68340814999829,118.68341660099759,118.69664447899777,118.69664447899777,119.69105623499854,119.69105623499854,122.69541164899783,122.69541164899783,122.69541164899783,122.69541164899783,122.67402366500028,1,1,['1'],122.67497839899806,122.67502468599923,None,122.67513900599806,122.68148472399844,None,122.68158092799786,122.68160652000006,None,2.5269538599968655,None,[0.10138990799896419],[None],,,,,,,,,,,,,,,21,001,0,,2024-04-13_10h06.23.029,replicate_nsd,2023.2.3,60.03926447827453,2024-04-13 10h06.36.508918 -0400,
