current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,blank_trial.stopped,key_resp_3.keys,run_wait2.started,key_resp_5.started,text_5.started,run_wait2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,key_resp_4.started,text_4.started,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
images/blank.jpg,0,19,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,19,19,19,58.20291221901425,,,,,,,,,,,58.197017111000605,58.20291221901425,58.388110858009895,58.388110858009895,59.109300531010376,59.109300531010376,59.109300531010376,59.10162746801507,None,59.101783525024075,,,,,59.101817222021054,None,59.10191510501318,,,59.101948169001844,None,,,59.102038364013424,59.102066149003804,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/11_28 copy 7.jpg,0,20,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,20,20,20,59.109300531010376,,,,,,,,,,,59.102362061006716,,,,,,,59.10557659601909,None,59.10567782999715,59.109300531010376,59.109300531010376,59.859985058021266,59.859985058021266,59.85287507402245,None,59.85299608801142,,,59.853022802009946,None,,,59.85311879002256,59.853141116996994,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/5_0.jpg,0,21,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,21,21,21,59.859985058021266,,,,,,,,,,,59.8533730560157,59.859985058021266,60.043758885003626,60.043758885003626,60.795876435004175,60.795876435004175,60.795876435004175,60.787942638009554,None,60.78812022402417,,,,,60.78815934600425,None,60.78827812700183,,,60.788317515020026,None,,,60.788427271996625,60.7884610890178,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/21_12 copy 4.jpg,0,22,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,22,22,22,60.795876435004175,,,,,,,,,,,60.78882139699999,60.795876435004175,60.98143191501731,60.98143191501731,61.74556398901041,61.74556398901041,61.74556398901041,61.738290510023944,None,61.73844339000061,,,,,61.738476090016775,None,61.73857540800236,,,61.73860842900467,None,,,61.738699680019636,61.73872855701484,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/10_12 copy 4.jpg,0,23,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,23,23,23,61.74556398901041,,,,,,,,,,,61.73902774302405,61.74556398901041,61.93679026002064,61.93679026002064,62.693779317021836,62.693779317021836,62.693779317021836,62.68531941101537,None,62.68549829701078,,,,,62.68553831600002,None,62.68565530801425,,,62.68569432201912,None,,,62.68580323201604,62.6858370359987,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/7_12 copy 3.jpg,0,24,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,24,24,24,62.693779317021836,,,,,,,,,,,62.68619874000433,62.693779317021836,62.886402767006075,62.886402767006075,63.633157938020304,63.633157938020304,63.633157938020304,63.61839482601499,None,63.61857530401903,,,,,63.61861512399628,None,63.6187348140229,,,63.618774316011695,None,,,63.61888578700018,63.618920080014504,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/pair02 copy.jpg,0,25,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,25,25,25,63.633157938020304,,,,,,,,,,,63.61954217401217,63.633157938020304,63.81681109001511,63.81681109001511,64.56001367399585,64.56001367399585,64.56001367399585,64.55139114600024,None,64.551518096996,,,,,64.55154450100963,None,64.55162493299576,,,64.55165201201453,None,,,64.55172653202317,64.55174985900521,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/23_12 copy 3.jpg,0,26,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,26,26,26,64.56001367399585,,,,,,,,,,,64.55199458100833,64.56001367399585,64.74478167900816,64.74478167900816,65.50198085000739,65.50198085000739,65.50198085000739,65.49349538201932,None,65.49366275101784,,,,,65.49369874500553,None,65.49380303200451,,,65.49383540000417,None,,,65.49412127700634,65.49415035202401,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/14_12.jpg,0,27,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,27,27,27,65.50198085000739,,,,,,,,,,,65.4944548830099,65.50198085000739,65.6902616910229,65.6902616910229,66.37836131901713,66.37836131901713,66.37836131901713,66.37103180101258,None,66.37115790101234,,,,,66.37118413401186,None,66.37126659302157,,,66.37129275201005,None,,,66.37136701200507,66.37139012801345,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
images/18_0 copy 3.jpg,0,28,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,28,28,28,66.37836131901713,,,,,,,,,,,66.37164015701273,66.37836131901713,66.56089124499704,66.56089124499704,67.29176863201428,67.29176863201428,67.29176863201428,67.28524163400289,None,67.28543381101917,,,,,67.28546681199805,None,67.28556721602217,,,67.28559978000703,None,,,67.2856913029973,67.28571951302001,None,,,1,001,0,,2024-04-09_12h30.56.435,replicate_nsd,2023.2.3,59.960717567579536,2024-04-09 12h31.08.208087 -0400,
