current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,set_up.started,set_up.stopped,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_skips.started,set_skips.stopped,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,blank_trial.stopped,key_resp_3.keys,run_wait2.started,run_wait2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,key_resp_3.started,polygon_2.started,key_resp_3.stopped,polygon_2.stopped,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
images/12_28 copy.jpg,0,20,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,20,20,20,5.94055036699865,,,,,,,,,,,3.3356901349907275,3.3357938199769706,3.3357999479922,3.337474971980555,None,3.3376733109762426,3.3376951739774086,None,3.337752045976231,3.3377724969759583,None,3.3378262169717345,3.337846399983391,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/6_0 copy 7.jpg,0,21,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,21,21,21,5.94055036699865,,,,,,,,,,,3.338080646994058,3.3381759409967344,3.3381818519847,3.339842282992322,None,3.3399135469808243,3.339935288997367,None,3.3399924839904997,3.340012726985151,None,3.340066515986109,3.3400855669751763,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/15_28 copy 3.jpg,0,22,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,22,22,22,5.94055036699865,,,,,,,,,,,3.340257447998738,3.34050239098724,3.340508258988848,3.342634307977278,None,3.342703429982066,3.34272411299753,None,3.3427782529906835,3.34279792997404,None,3.342848698986927,3.342866740975296,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/14_28 copy 5.jpg,0,23,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,23,23,23,5.94055036699865,,,,,,,,,,,3.343212377978489,3.3433040689851623,3.343309601972578,3.3541002899874,None,3.35417237598449,3.3541930229985155,None,3.354248085990548,3.3542676999932155,None,3.3543193119985517,3.35433760099113,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/11_0 copy 2.jpg,0,24,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,24,24,24,5.94055036699865,,,,,,,,,,,3.3545058029994834,3.3545910739921965,3.3545966479869094,3.35622693397454,None,3.3562957379908767,3.3563167399843223,None,3.3563714049814735,3.3563905479968525,None,3.3564423999923747,3.356460430979496,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/23_40 copy 4.jpg,0,25,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,25,25,25,5.94055036699865,,,,,,,,,,,3.3566819239931647,3.3567665279842913,3.356772272993112,3.3582714009971824,None,3.3583405489916913,3.3583616579999216,None,3.358418678981252,3.3584385119902436,None,3.358491746999789,3.3585103469958995,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/14_40 copy 7.jpg,0,26,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,26,26,26,5.94055036699865,,,,,,,,,,,3.3586791569832712,3.358763199998066,3.358768907986814,3.3602615859999787,None,3.3603304869902786,3.360351406998234,None,3.3604072539892513,3.3604269969800953,None,3.3604804759961553,3.3604990399908274,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/24_40 copy 7.jpg,0,27,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,27,27,27,5.94055036699865,,,,,,,,,,,3.3606679039949086,3.3607513279712293,3.360757094982546,3.3628467399976216,None,3.3629171699867584,3.3629383229999803,None,3.362994721974246,3.3630144439812284,None,3.3630667529942,3.3630851749912836,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/21_0 copy 6.jpg,0,28,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,28,28,28,5.94055036699865,,,,,,,,,,,3.3632562159909867,3.363341385993408,3.363347044971306,3.3649787189788185,None,3.365047206985764,3.365068507991964,None,3.365123951982241,3.365145001997007,None,3.365197940991493,3.3652164659870323,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
images/blank.jpg,0,29,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",0,29,29,29,5.94055036699865,,,,,,,,,,,3.3653829019749537,3.3654666309885215,3.3654721779748797,3.366927061986644,None,3.3669958639948163,3.3670169879915193,None,3.36707313999068,3.3670931099914014,None,3.367145828990033,3.367164490977302,None,,,,,,,,,,,1,001,15,,2024-04-09_13h44.20.403,replicate_nsd,2023.2.3,59.874835366735276,2024-04-09 13h44.40.917710 -0400,
