current_image,trial_index,is_blank_trial,is_repeat,is_new_run,run_num,all_blanks_list,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_up.started,set_up.stopped,practice_continue.started,key_resp_6.started,text_6.started,practice_continue.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,set_skips_and_correct_key_2.started,set_skips_and_correct_key_2.stopped,practice_trial.started,polygon_3.started,all_keys_pressed_2.started,image_2.started,press_if_repeat_2.started,image_2.stopped,press_if_repeat_2.stopped,polygon_3.stopped,all_keys_pressed_2.stopped,practice_trial.stopped,press_if_repeat_2.keys,press_if_repeat_2.corr,all_keys_pressed_2.keys,blank_trial_2.started,blank_trial_2.stopped,polygon_4.started,polygon_4.stopped,testing_continue.started,key_resp_7.started,text_7.started,testing_continue.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,set_skips_and_correct_key.started,set_skips_and_correct_key.stopped,trial.started,polygon.started,all_keys_pressed.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,all_keys_pressed.stopped,trial.stopped,press_if_repeat.keys,press_if_repeat.corr,all_keys_pressed.keys,blank_trial.started,blank_trial.stopped,blank_trial_testing_keys.keys,run_wait2_2.started,run_wait2_2.stopped,key_resp_5.keys,waiting_fmri_2.started,waiting_fmri_2.stopped,key_resp_4.keys,blank_trial_testing_keys.started,polygon_2.started,blank_trial_testing_keys.stopped,polygon_2.stopped,participant,session,starting_run,,date,expName,psychopyVersion,frameRate,expStart,
practice_images/paired_image_33_1.png,18,0,,,,,0,18,18,18,,,,,206.6431843779992,,,,,,,,,,,,,,,,,,206.62800206799966,206.62812366799972,206.6281364309998,206.6431843779992,206.6431843779992,207.64351695099958,207.64351695099958,210.64280264899935,210.64280264899935,210.64280264899935,210.64280264899935,210.62712176099922,None,0,None,210.62760307199915,210.62764961599987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
practice_images/paired_image_4_2.png,19,0,,,,,0,19,19,19,,,,,210.64280264899935,,,,,,,,,,,,,,,,,,210.62795864099917,210.6280868569993,210.62810001599973,210.64280264899935,210.64280264899935,211.6436148189996,211.6436148189996,214.64720764999947,214.64720764999947,214.64720764999947,214.64720764999947,214.62755498499973,None,0,None,214.62797946799947,214.62801996799953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.62807921699914,214.64720764999947,214.64720764999947,251.92776212399986,1,37.27151317799962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
,,,,,,,,,,,,,,,,,251.92780132899952,251.94807530199978,251.94807530199978,254.54125781999937,equal,2.5888894350000555,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
images/image_585_seed_1.png,0,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,0,0,0,254.6379257839999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.62156846799917,254.6216622789998,254.62166975899981,254.6379257839999,254.6379257839999,255.62790970999959,255.62790970999959,258.63428751799984,258.63428751799984,258.63428751799984,258.63428751799984,258.61184364399924,None,0,None,258.61396888799936,258.6140193629999,None,258.6149207599992,258.6150140569998,None,258.6157071189991,258.6157422339993,None,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
images/image_252_seed_1.png,1,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,1,1,1,258.63428751799984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.6168019099996,258.6169184599994,258.6169293589992,258.63428751799984,258.63428751799984,259.62812841199957,259.62812841199957,262.6370720649993,262.6370720649993,262.6370720649993,262.6370720649993,262.61201403799987,None,0,None,262.6125275429995,262.6125734819998,None,262.6126906689997,262.623028299,None,262.6231405109993,262.62316707099944,None,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
images/image_118_seed_1.png,2,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,2,2,2,262.6370720649993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.62343952899937,262.6235424919996,262.6235515439994,262.6370720649993,262.6370720649993,263.62830025199946,263.62830025199946,266.63300346899996,266.63300346899996,266.63300346899996,266.63300346899996,266.6115295269992,None,0,None,266.6120993229997,266.61215268699925,None,266.61228498699984,266.6208077379997,None,266.62090442799945,266.62092958999983,None,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
images/image_196_seed_1.png,3,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,3,3,3,266.63300346899996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.62119234499914,266.621287594,266.6212964029992,266.63300346899996,266.63300346899996,267.62801513199975,267.62801513199975,270.6337401569999,270.6337401569999,270.6337401569999,270.6337401569999,270.6114385809997,None,0,None,270.61192176699933,270.61196564199963,None,270.61208226099916,270.6208309519998,None,270.6209278899996,270.62095223099914,None,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
images/image_10_seed_1.png,4,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,4,4,4,270.6337401569999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.62121058199955,270.6213059389993,270.6213147439994,270.6337401569999,270.6337401569999,271.6280513469992,271.6280513469992,274.63344520899955,274.63344520899955,274.63344520899955,274.63344520899955,274.61163659999966,None,0,None,274.61211970899967,274.61216332999993,None,274.6122813689999,274.6206770059998,None,274.6207730729993,274.62079739399996,None,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
images/image_318_seed_1.png,5,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,5,5,5,274.63344520899955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.62105580499974,274.62114990399914,274.6211586119998,274.63344520899955,274.63344520899955,275.62802378799915,275.62802378799915,278.6335319989994,278.6335319989994,278.6335319989994,278.6335319989994,278.6117514389998,None,0,None,278.61224247599966,278.6122868759994,None,278.6124049129994,278.62109349299953,None,278.6211927259992,278.62121752499934,None,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
images/image_719_seed_1.png,6,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,6,6,6,278.6335319989994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.62147500899937,278.6215713849997,278.6215800909995,278.6335319989994,278.6335319989994,279.62814546699974,279.62814546699974,282.6333113369992,282.6333113369992,282.6333113369992,282.6333113369992,282.6117752829996,None,0,None,282.6122575169993,282.61230111699933,None,282.61241765199975,282.62087508699915,None,282.6209716349995,282.6209965809994,None,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
images/image_253_seed_1.png,7,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,7,7,7,282.6333113369992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.6212565859996,282.62135118199967,282.62135989999933,282.6333113369992,282.6333113369992,283.6282121059994,283.6282121059994,286.635014296,286.635014296,286.635014296,286.635014296,286.6117665219999,None,0,None,286.6122435489997,286.6122857239998,None,286.6124017299999,286.6221279709998,None,286.6222299209994,286.6222551289993,None,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
images/image_458_seed_1.png,8,0,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]",,,,,0,8,8,8,286.635014296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.62251483,286.62260928499927,286.6226180219992,286.635014296,286.635014296,287.6284305699992,287.6284305699992,290.6350158079995,290.6350158079995,290.6350158079995,290.6350158079995,290.61194418799914,None,0,None,290.61242657599996,290.6124697129999,None,290.612585203,290.6210964689999,None,290.6211957539999,290.62121987999944,None,,,,,1,001,0,,2024-04-12_14h25.11.355,replicate_nsd,2023.2.3,60.02731110576763,2024-04-12 14h25.25.699816 -0400,
